sex	decade	pct	name
F	1880	0.001	Mai
F	1880	0.006	Martina
F	1880	0.003	Maryann
F	1880	0.003	Melva
F	1880	0.002	Mena
F	1880	0.006	Mercedes
F	1880	0.012	Merle
F	1880	0.006	Mima
F	1880	0.005	Minda
F	1880	0.007	Monica
F	1880	0.006	Nealie
F	1880	0.005	Netta
F	1880	0.001	Nolia
F	1880	0.007	Nonie
F	1880	0.005	Odelia
F	1880	0.011	Ottilie
F	1880	0.012	Phyllis
F	1880	0.005	Robbie
F	1880	0.007	Sabina
F	1880	0.004	Sada
F	1880	0.005	Sammie
F	1880	0.005	Suzanne
F	1880	0.001	Sybilla
F	1880	0.007	Thea
F	1880	0.010	Tressie
F	1880	0.014	Vallie
F	1880	0.003	Venie
F	1880	0.002	Viney
F	1880	0.007	Wilhelmine
F	1880	0.008	Winona
F	1880	0.005	Zelda
F	1880	0.005	Zilpha
F	1880	0.002	Adelle
F	1880	0.001	Adina
F	1880	0.002	Adrienne
F	1880	0.007	Albertine
F	1880	0.001	Alys
F	1880	0.006	Ana
F	1880	0.001	Araminta
F	1880	0.005	Arthur
F	1880	0.003	Birtha
F	1880	0.008	Bulah
F	1880	0.003	Caddie
F	1880	0.002	Celie
F	1880	0.002	Charlotta
F	1880	0.001	Clair
F	1880	0.001	Concepcion
F	1880	0.001	Cordella
F	1880	0.008	Corrine
F	1880	0.004	Delila
F	1880	0.008	Delphine
F	1880	0.004	Dosha
F	1880	0.003	Elaine
F	1880	0.007	Elisa
F	1880	0.004	Ellar
F	1880	0.001	Elmire
F	1880	0.007	Elvina
F	1880	0.004	Ena
F	1880	0.001	Estie
F	1880	0.002	Etter
F	1880	0.001	Fronnie
F	1880	0.008	Genie
F	1880	0.006	Georgina
F	1880	0.004	Glenn
F	1880	0.002	Gracia
F	1880	0.007	Guadalupe
F	1880	0.003	Gwendolyn
F	1880	0.008	Hassie
F	1880	0.005	Honora
F	1880	0.007	Icy
F	1880	0.010	Isa
F	1880	0.003	Isadora
F	1880	0.007	Jesse
